Amino acid	1-letter code	Count	Percent	Entries with amino acid	Average count per UniProtKB entry
Leu	L	7,393,030,744	9.76%	202,737,099	36.40
Ala	A	6,583,157,996	8.69%	202,207,919	32.41
Ser	S	5,454,747,324	7.20%	202,426,890	26.85
Gly	G	5,354,982,043	7.07%	202,027,261	26.36
Val	V	5,110,613,814	6.75%	202,255,078	25.16
Glu	E	4,755,359,227	6.28%	201,146,176	23.41
Arg	R	4,402,586,958	5.81%	201,531,152	21.67
Thr	T	4,238,909,517	5.60%	201,866,937	20.87
Asp	D	4,121,347,009	5.44%	200,915,456	20.29
Ile	I	4,035,105,478	5.33%	201,322,353	19.86
Pro	P	3,900,214,910	5.15%	200,407,440	19.20
Lys	K	3,825,599,651	5.05%	197,823,008	18.83
Gln	Q	2,973,231,616	3.93%	199,410,705	14.64
Asn	N	2,929,830,690	3.87%	198,095,173	14.42
Phe	F	2,908,663,509	3.84%	199,408,281	14.32
Tyr	Y	2,156,135,777	2.85%	195,762,031	10.61
Met	M	1,758,004,079	2.32%	201,475,809	8.65
His	H	1,744,404,013	2.30%	192,944,823	8.59
Cys	C	1,074,819,141	1.42%	171,877,296	5.29
Trp	W	985,336,947	1.30%	177,286,318	4.85
Xaa	X	16,498,994	0.02%	1,853,077	0.08
Asx	B	19,901	<0.01%	17,641	<0.01
Sec	U	12,706	<0.01%	11,600	<0.01
Glx	Z	7,705	<0.01%	7,140	<0.01
Pyl	O	244	<0.01%	243	<0.01
