# job_id,length,motifs,weights,weight_name,n_batches
0,10,1-20,1 1 1 4 4 2,balanced,600
1,10,1-20,1 1 1 8 4 2,affinity,600
2,10,1-20,1 1 1 8 2 1,more-affinity,600
3,10,1-20,1 1 1 10 1 1,max-affinity,600
4,10,1-20,1 1 1 4 8 4,specificity,600
5,10,11-30,1 1 1 4 4 2,balanced,600
6,10,11-30,1 1 1 8 4 2,affinity,600
7,10,11-30,1 1 1 8 2 1,more-affinity,600
8,10,11-30,1 1 1 10 1 1,max-affinity,600
9,10,11-30,1 1 1 4 8 4,specificity,600
10,10,21-40,1 1 1 4 4 2,balanced,600
11,10,21-40,1 1 1 8 4 2,affinity,600
12,10,21-40,1 1 1 8 2 1,more-affinity,600
13,10,21-40,1 1 1 10 1 1,max-affinity,600
14,10,21-40,1 1 1 4 8 4,specificity,600
15,10,31-50,1 1 1 4 4 2,balanced,600
16,10,31-50,1 1 1 8 4 2,affinity,600
17,10,31-50,1 1 1 8 2 1,more-affinity,600
18,10,31-50,1 1 1 10 1 1,max-affinity,600
19,10,31-50,1 1 1 4 8 4,specificity,600
20,10,41-60,1 1 1 4 4 2,balanced,600
21,10,41-60,1 1 1 8 4 2,affinity,600
22,10,41-60,1 1 1 8 2 1,more-affinity,600
23,10,41-60,1 1 1 10 1 1,max-affinity,600
24,10,41-60,1 1 1 4 8 4,specificity,600
25,10,51-70,1 1 1 4 4 2,balanced,600
26,10,51-70,1 1 1 8 4 2,affinity,600
27,10,51-70,1 1 1 8 2 1,more-affinity,600
28,10,51-70,1 1 1 10 1 1,max-affinity,600
29,10,51-70,1 1 1 4 8 4,specificity,600
30,10,61-80,1 1 1 4 4 2,balanced,600
31,10,61-80,1 1 1 8 4 2,affinity,600
32,10,61-80,1 1 1 8 2 1,more-affinity,600
33,10,61-80,1 1 1 10 1 1,max-affinity,600
34,10,61-80,1 1 1 4 8 4,specificity,600
35,10,71-90,1 1 1 4 4 2,balanced,600
36,10,71-90,1 1 1 8 4 2,affinity,600
37,10,71-90,1 1 1 8 2 1,more-affinity,600
38,10,71-90,1 1 1 10 1 1,max-affinity,600
39,10,71-90,1 1 1 4 8 4,specificity,600
40,10,81-100,1 1 1 4 4 2,balanced,600
41,10,81-100,1 1 1 8 4 2,affinity,600
42,10,81-100,1 1 1 8 2 1,more-affinity,600
43,10,81-100,1 1 1 10 1 1,max-affinity,600
44,10,81-100,1 1 1 4 8 4,specificity,600
45,15,1-20,1 1 1 4 4 2,balanced,600
46,15,1-20,1 1 1 8 4 2,affinity,600
47,15,1-20,1 1 1 8 2 1,more-affinity,600
48,15,1-20,1 1 1 10 1 1,max-affinity,600
49,15,1-20,1 1 1 4 8 4,specificity,600
50,15,11-30,1 1 1 4 4 2,balanced,600
51,15,11-30,1 1 1 8 4 2,affinity,600
52,15,11-30,1 1 1 8 2 1,more-affinity,600
53,15,11-30,1 1 1 10 1 1,max-affinity,600
54,15,11-30,1 1 1 4 8 4,specificity,600
55,15,21-40,1 1 1 4 4 2,balanced,600
56,15,21-40,1 1 1 8 4 2,affinity,600
57,15,21-40,1 1 1 8 2 1,more-affinity,600
58,15,21-40,1 1 1 10 1 1,max-affinity,600
59,15,21-40,1 1 1 4 8 4,specificity,600
60,15,31-50,1 1 1 4 4 2,balanced,600
61,15,31-50,1 1 1 8 4 2,affinity,600
62,15,31-50,1 1 1 8 2 1,more-affinity,600
63,15,31-50,1 1 1 10 1 1,max-affinity,600
64,15,31-50,1 1 1 4 8 4,specificity,600
65,15,41-60,1 1 1 4 4 2,balanced,600
66,15,41-60,1 1 1 8 4 2,affinity,600
67,15,41-60,1 1 1 8 2 1,more-affinity,600
68,15,41-60,1 1 1 10 1 1,max-affinity,600
69,15,41-60,1 1 1 4 8 4,specificity,600
70,15,51-70,1 1 1 4 4 2,balanced,600
71,15,51-70,1 1 1 8 4 2,affinity,600
72,15,51-70,1 1 1 8 2 1,more-affinity,600
73,15,51-70,1 1 1 10 1 1,max-affinity,600
74,15,51-70,1 1 1 4 8 4,specificity,600
75,15,61-80,1 1 1 4 4 2,balanced,600
76,15,61-80,1 1 1 8 4 2,affinity,600
77,15,61-80,1 1 1 8 2 1,more-affinity,600
78,15,61-80,1 1 1 10 1 1,max-affinity,600
79,15,61-80,1 1 1 4 8 4,specificity,600
80,15,71-90,1 1 1 4 4 2,balanced,600
81,15,71-90,1 1 1 8 4 2,affinity,600
82,15,71-90,1 1 1 8 2 1,more-affinity,600
83,15,71-90,1 1 1 10 1 1,max-affinity,600
84,15,71-90,1 1 1 4 8 4,specificity,600
85,15,81-100,1 1 1 4 4 2,balanced,600
86,15,81-100,1 1 1 8 4 2,affinity,600
87,15,81-100,1 1 1 8 2 1,more-affinity,600
88,15,81-100,1 1 1 10 1 1,max-affinity,600
89,15,81-100,1 1 1 4 8 4,specificity,600
90,20,1-20,1 1 1 4 4 2,balanced,600
91,20,1-20,1 1 1 8 4 2,affinity,600
92,20,1-20,1 1 1 8 2 1,more-affinity,600
93,20,1-20,1 1 1 10 1 1,max-affinity,600
94,20,1-20,1 1 1 4 8 4,specificity,600
95,20,11-30,1 1 1 4 4 2,balanced,600
96,20,11-30,1 1 1 8 4 2,affinity,600
97,20,11-30,1 1 1 8 2 1,more-affinity,600
98,20,11-30,1 1 1 10 1 1,max-affinity,600
99,20,11-30,1 1 1 4 8 4,specificity,600
100,20,21-40,1 1 1 4 4 2,balanced,600
101,20,21-40,1 1 1 8 4 2,affinity,600
102,20,21-40,1 1 1 8 2 1,more-affinity,600
103,20,21-40,1 1 1 10 1 1,max-affinity,600
104,20,21-40,1 1 1 4 8 4,specificity,600
105,20,31-50,1 1 1 4 4 2,balanced,600
106,20,31-50,1 1 1 8 4 2,affinity,600
107,20,31-50,1 1 1 8 2 1,more-affinity,600
108,20,31-50,1 1 1 10 1 1,max-affinity,600
109,20,31-50,1 1 1 4 8 4,specificity,600
110,20,41-60,1 1 1 4 4 2,balanced,600
111,20,41-60,1 1 1 8 4 2,affinity,600
112,20,41-60,1 1 1 8 2 1,more-affinity,600
113,20,41-60,1 1 1 10 1 1,max-affinity,600
114,20,41-60,1 1 1 4 8 4,specificity,600
115,20,51-70,1 1 1 4 4 2,balanced,600
116,20,51-70,1 1 1 8 4 2,affinity,600
117,20,51-70,1 1 1 8 2 1,more-affinity,600
118,20,51-70,1 1 1 10 1 1,max-affinity,600
119,20,51-70,1 1 1 4 8 4,specificity,600
120,20,61-80,1 1 1 4 4 2,balanced,600
121,20,61-80,1 1 1 8 4 2,affinity,600
122,20,61-80,1 1 1 8 2 1,more-affinity,600
123,20,61-80,1 1 1 10 1 1,max-affinity,600
124,20,61-80,1 1 1 4 8 4,specificity,600
125,20,71-90,1 1 1 4 4 2,balanced,600
126,20,71-90,1 1 1 8 4 2,affinity,600
127,20,71-90,1 1 1 8 2 1,more-affinity,600
128,20,71-90,1 1 1 10 1 1,max-affinity,600
129,20,71-90,1 1 1 4 8 4,specificity,600
130,20,81-100,1 1 1 4 4 2,balanced,600
131,20,81-100,1 1 1 8 4 2,affinity,600
132,20,81-100,1 1 1 8 2 1,more-affinity,600
133,20,81-100,1 1 1 10 1 1,max-affinity,600
134,20,81-100,1 1 1 4 8 4,specificity,600
135,25,1-20,1 1 1 4 4 2,balanced,600
136,25,1-20,1 1 1 8 4 2,affinity,600
137,25,1-20,1 1 1 8 2 1,more-affinity,600
138,25,1-20,1 1 1 10 1 1,max-affinity,600
139,25,1-20,1 1 1 4 8 4,specificity,600
140,25,11-30,1 1 1 4 4 2,balanced,600
141,25,11-30,1 1 1 8 4 2,affinity,600
142,25,11-30,1 1 1 8 2 1,more-affinity,600
143,25,11-30,1 1 1 10 1 1,max-affinity,600
144,25,11-30,1 1 1 4 8 4,specificity,600
145,25,21-40,1 1 1 4 4 2,balanced,600
146,25,21-40,1 1 1 8 4 2,affinity,600
147,25,21-40,1 1 1 8 2 1,more-affinity,600
148,25,21-40,1 1 1 10 1 1,max-affinity,600
149,25,21-40,1 1 1 4 8 4,specificity,600
150,25,31-50,1 1 1 4 4 2,balanced,600
151,25,31-50,1 1 1 8 4 2,affinity,600
152,25,31-50,1 1 1 8 2 1,more-affinity,600
153,25,31-50,1 1 1 10 1 1,max-affinity,600
154,25,31-50,1 1 1 4 8 4,specificity,600
155,25,41-60,1 1 1 4 4 2,balanced,600
156,25,41-60,1 1 1 8 4 2,affinity,600
157,25,41-60,1 1 1 8 2 1,more-affinity,600
158,25,41-60,1 1 1 10 1 1,max-affinity,600
159,25,41-60,1 1 1 4 8 4,specificity,600
160,25,51-70,1 1 1 4 4 2,balanced,600
161,25,51-70,1 1 1 8 4 2,affinity,600
162,25,51-70,1 1 1 8 2 1,more-affinity,600
163,25,51-70,1 1 1 10 1 1,max-affinity,600
164,25,51-70,1 1 1 4 8 4,specificity,600
165,25,61-80,1 1 1 4 4 2,balanced,600
166,25,61-80,1 1 1 8 4 2,affinity,600
167,25,61-80,1 1 1 8 2 1,more-affinity,600
168,25,61-80,1 1 1 10 1 1,max-affinity,600
169,25,61-80,1 1 1 4 8 4,specificity,600
170,25,71-90,1 1 1 4 4 2,balanced,600
171,25,71-90,1 1 1 8 4 2,affinity,600
172,25,71-90,1 1 1 8 2 1,more-affinity,600
173,25,71-90,1 1 1 10 1 1,max-affinity,600
174,25,71-90,1 1 1 4 8 4,specificity,600
175,25,81-100,1 1 1 4 4 2,balanced,600
176,25,81-100,1 1 1 8 4 2,affinity,600
177,25,81-100,1 1 1 8 2 1,more-affinity,600
178,25,81-100,1 1 1 10 1 1,max-affinity,600
179,25,81-100,1 1 1 4 8 4,specificity,600
